Index_disease	Index_disease_id	Associated_disease	Associated_disease_id	Co-mentions
Lymphoma	MESH:D008223	Neoplasms	MESH:D009369	31915
Leukemia	MESH:D007938	Neoplasms	MESH:D009369	28614
Lymphoma	MESH:D008223	Genetic Diseases, Inborn	MESH:D030342	25278
Leukemia	MESH:D007938	Genetic Diseases, Inborn	MESH:D030342	21078
Multiple Myeloma	MESH:D009101	Genetic Diseases, Inborn	MESH:D030342	17621
Leukemia	MESH:D007938	Leukemia, Myeloid, Acute	MESH:D015470	17065
Lymphoma	MESH:D008223	Lymphoma, Non-Hodgkin	MESH:D008228	14826
Leukemia	MESH:D007938	Precursor Cell Lymphoblastic Leukemia-Lymphoma	MESH:D054198	12625
Multiple Myeloma	MESH:D009101	Neoplasms	MESH:D009369	12205
Leukemia	MESH:D007938	Lymphoma	MESH:D008223	8721
Lymphoma	MESH:D008223	Leukemia	MESH:D007938	8721
Lymphoma	MESH:D008223	Lymphoma, Large B-Cell, Diffuse	MESH:D016403	7768
Leukemia	MESH:D007938	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	MESH:D015464	7289
Lymphoma	MESH:D008223	Hodgkin Disease	MESH:D006689	6205
Lymphoma	MESH:D008223	Lymphoma, B-Cell	MESH:D016393	5987
Leukemia	MESH:D007938	Hematologic Neoplasms	MESH:D019337	5124
Lymphoma	MESH:D008223	Lymphoma, Follicular	MESH:D008224	4816
Lymphoma	MESH:D008223	Lymphoma, T-Cell	MESH:D016399	4667
Lymphoma	MESH:D008223		OMIM:605027	4618
Leukemia	MESH:D007938	Leukemia, Lymphocytic, Chronic, B-Cell	MESH:D015451	4336
Lymphoma	MESH:D008223	Leukemia, Lymphocytic, Chronic, B-Cell	MESH:D015451	4179
Lymphoma	MESH:D008223	Lymphoma, Mantle-Cell	MESH:D020522	3533
Leukemia	MESH:D007938	Leukemia, Myeloid	MESH:D007951	3528
Lymphoma	MESH:D008223	Lymphoma, B-Cell, Marginal Zone	MESH:D018442	3256
Lymphoma	MESH:D008223	Lymphoproliferative Disorders	MESH:D008232	2993
Lymphoma	MESH:D008223	Epstein-Barr Virus Infections	MESH:D020031	2985
Lymphoma	MESH:D008223	Multiple Myeloma	MESH:D009101	2983
Multiple Myeloma	MESH:D009101	Lymphoma	MESH:D008223	2983
Leukemia	MESH:D007938	Myelodysplastic Syndromes	MESH:D009190	2943
Lymphoma	MESH:D008223	Hematologic Neoplasms	MESH:D019337	2921
Lymphoma	MESH:D008223	Burkitt Lymphoma	MESH:D002051	2884
Leukemia	MESH:D007938	Chromosome Aberrations	MESH:D002869	2834
Leukemia	MESH:D007938	Breast Neoplasms	MESH:D001943	2734
Leukemia	MESH:D007938	Leukemia, Promyelocytic, Acute	MESH:D015473	2727
Multiple Myeloma	MESH:D009101	Hematologic Neoplasms	MESH:D019337	2715
Leukemia	MESH:D007938	Lymphoma, Non-Hodgkin	MESH:D008228	2687
Leukemia	MESH:D007938	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	MESH:D054218	2597
Lymphoma	MESH:D008223	Leukemia, T-Cell	MESH:D015458	2387
Lymphoma	MESH:D008223	Breast Neoplasms	MESH:D001943	2361
Lymphoma	MESH:D008223	Acquired Immunodeficiency Syndrome	MESH:D000163	2358
Leukemia	MESH:D007938	Multiple Myeloma	MESH:D009101	2329
Multiple Myeloma	MESH:D009101	Leukemia	MESH:D007938	2329
Multiple Myeloma	MESH:D009101	Paraproteinemias	MESH:D010265	2212
Lymphoma	MESH:D008223	Lymphoma, Large-Cell, Anaplastic	MESH:D017728	2194
Lymphoma	MESH:D008223	Precursor Cell Lymphoblastic Leukemia-Lymphoma	MESH:D054198	2134
Lymphoma	MESH:D008223	Lymphatic Diseases	MESH:D008206	2090
Lymphoma	MESH:D008223	Carcinoma	MESH:D002277	2027
Leukemia	MESH:D007938	Graft vs Host Disease	MESH:D006086	1982
Multiple Myeloma	MESH:D009101	Lymphoma, Non-Hodgkin	MESH:D008228	1948
Lymphoma	MESH:D008223	HIV Infections	MESH:D015658	1939
Leukemia	MESH:D007938	Leukemia, Lymphoid	MESH:D007945	1906
Lymphoma	MESH:D008223	Fever	MESH:D005334	1878
Leukemia	MESH:D007938	Classical Lissencephalies and Subcortical Band Heterotopias	MESH:D054221	1836
Leukemia	MESH:D007938	Leukemia, T-Cell	MESH:D015458	1812
Leukemia	MESH:D007938	Leukemia, Biphenotypic, Acute	MESH:D015456	1784
Leukemia	MESH:D007938	Hematologic Diseases	MESH:D006402	1751
Lymphoma	MESH:D008223	Autoimmune Diseases	MESH:D001327	1680
Lymphoma	MESH:D008223	Leukemia, Myeloid, Acute	MESH:D015470	1633
Lymphoma	MESH:D008223	Lung Neoplasms	MESH:D008175	1599
Multiple Myeloma	MESH:D009101	Bone Diseases	MESH:D001847	1548
Lymphoma	MESH:D008223	Melanoma	MESH:D008545	1524
Lymphoma	MESH:D008223	Leukemia-Lymphoma, Adult T-Cell	MESH:D015459	1521
Lymphoma	MESH:D008223	Lymphoma, T-Cell, Cutaneous	MESH:D016410	1489
Leukemia	MESH:D007938	Leukemia, Monocytic, Acute	MESH:D007948	1478
Multiple Myeloma	MESH:D009101	Plasmacytoma	MESH:D010954	1469
Leukemia	MESH:D007938	Hodgkin Disease	MESH:D006689	1434
Leukemia	MESH:D007938	Melanoma	MESH:D008545	1381
Leukemia	MESH:D007938	Lung Neoplasms	MESH:D008175	1379
Lymphoma	MESH:D008223	Lymphoma, T-Cell, Peripheral	MESH:D016411	1373
Multiple Myeloma	MESH:D009101	Renal Insufficiency	MESH:D051437	1356
Lymphoma	MESH:D008223	Disease	MESH:D004194	1346
Lymphoma	MESH:D008223	Colonic Neoplasms	MESH:D003110	1318
Multiple Myeloma	MESH:D009101	Leukemia, Lymphocytic, Chronic, B-Cell	MESH:D015451	1297
Lymphoma	MESH:D008223	Sarcoma	MESH:D012509	1284
Leukemia	MESH:D007938	Neutropenia	MESH:D009503	1253
Lymphoma	MESH:D008223	Lymphoma, Extranodal NK-T-Cell	MESH:D054391	1219
Multiple Myeloma	MESH:D009101	Monoclonal Gammopathy of Undetermined Significance	MESH:D008998	1215
Multiple Myeloma	MESH:D009101	Breast Neoplasms	MESH:D001943	1197
Leukemia	MESH:D007938	Disease	MESH:D004194	1185
Leukemia	MESH:D007938	Fever	MESH:D005334	1184
Leukemia	MESH:D007938	Sarcoma	MESH:D012509	1164
Lymphoma	MESH:D008223	Chromosome Aberrations	MESH:D002869	1161
Multiple Myeloma	MESH:D009101	Amyloidosis	MESH:D000686	1108
Leukemia	MESH:D007938	Ovarian Neoplasms	MESH:D010051	1099
Lymphoma	MESH:D008223	Stomach Neoplasms	MESH:D013274	1077
Leukemia	MESH:D007938	Myeloproliferative Disorders	MESH:D009196	1071
Leukemia	MESH:D007938	Leukemia, B-Cell	MESH:D015448	1056
Lymphoma	MESH:D008223	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	MESH:D015464	1056
Lymphoma	MESH:D008223	Central Nervous System Neoplasms	MESH:D016543	1054
Multiple Myeloma	MESH:D009101	Hodgkin Disease	MESH:D006689	1047
Leukemia	MESH:D007938	Lymphoma, T-Cell	MESH:D016399	1041
Leukemia	MESH:D007938	Colonic Neoplasms	MESH:D003110	1024
Multiple Myeloma	MESH:D009101	Leukemia, Myeloid, Acute	MESH:D015470	1023
Lymphoma	MESH:D008223	Leukemia, Lymphoid	MESH:D007945	1013
Leukemia	MESH:D007938	Thrombocytopenia	MESH:D013921	1012
Lymphoma	MESH:D008223	Adenocarcinoma	MESH:D000230	1007
Leukemia	MESH:D007938	Anemia	MESH:D000740	992
Lymphoma	MESH:D008223	Sarcoma, Kaposi	MESH:D012514	969
Lymphoma	MESH:D008223	Neoplasms, Second Primary	MESH:D016609	944
Leukemia	MESH:D007938	Leukemia L5178	MESH:D007940	930
Lymphoma	MESH:D008223	Lymphoma, Large-Cell, Immunoblastic	MESH:D016400	929
Leukemia	MESH:D007938	Lymphoma, B-Cell	MESH:D016393	910
Lymphoma	MESH:D008223	Neutropenia	MESH:D009503	909
Lymphoma	MESH:D008223	3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency	MESH:C538324	907
